model_id,label,model_type,family,params_M,mflops_tok,hidden_size,n_layers_unique,max_iters,notes,ppl,avg10,arc_c,arc_e,boolq,copa,hella,obqa,piqa,sciq,wino,mmlu,gsm8k
v18_energy_desc_6x2_d768_lr2e3,V18 EDesc-MixH 6×2,MixH,mixhead,118,314,768,6,2,,40.5387,47.0,24.488,46.128,60.245,61.0,31.966,31.4,63.275,77.0,49.961,24.562,2.502
v19_energy_grad_24x1_d1024_lr1e3,V19 EGrad-MixH 24×1,MixH,mixhead,342,503,1024,24,1,,27.8049,50.49,27.73,55.471,57.706,66.0,40.46,32.4,66.812,82.6,50.592,25.089,2.123
v20_energy_desc_24x1_d1024_lr1e3,V20 EDesc-MixH 24×1,MixH,mixhead,342,503,1024,24,1,,27.9032,50.23,27.133,55.303,55.596,67.0,40.181,30.0,66.649,82.7,52.328,25.431,1.44
v21_energy_grad_6x2_d1024_lr1e3,V21 EGrad-MixH 6×2 d1024,MixH,mixhead,162,252,1024,6,2,,37.2849,47.88,25.597,48.106,55.352,65.0,33.908,31.4,64.255,77.2,53.512,24.491,1.971
v22_energy_desc_6x2_d1024_lr1e3,V22 EDesc-MixH 6×2 d1024,MixH,mixhead,162,252,1024,6,2,,37.0902,47.23,24.915,47.348,57.278,62.0,33.549,30.8,63.983,77.8,49.803,24.833,1.971
v23_energy_grad_12x2_d1024_lr1e3,V23 EGrad-MixH 12×2,MixH,mixhead,228,503,1024,12,2,,31.6444,48.5,26.451,51.557,56.972,61.0,36.895,29.8,65.887,81.2,50.434,24.776,1.971
v24_energy_desc_12x2_d1024_lr1e3,V24 EDesc-MixH 12×2,MixH,mixhead,228,503,1024,12,2,,31.7413,49.13,25.0,49.285,60.673,66.0,37.323,31.6,65.996,79.4,51.144,24.89,1.82
v25_energy_grad_6x4_d1024_lr1e3,V25 EGrad-MixH 6×4,MixH,mixhead,162,503,1024,6,4,uniform schedule,35.8844,47.7,23.379,48.485,58.777,67.0,34.087,29.4,63.765,77.9,50.118,24.113,1.592
v26_energy_grad_6x_ramp_d1024_lr1e3,V26 EGrad-MixH 6×ramp,MixH,mixhead,162,503,1024,6,9,ramp schedule,36.6439,47.62,25.085,46.759,60.183,64.0,33.579,28.8,64.635,76.6,52.723,23.821,1.744
v27_egrad_attn_12x1_d768_lr2e3,V27 EGrad-Attn 12×1,EGrad,egrad,141,285,768,12,1,attn-only EGrad,37.136,46.62,24.659,48.653,50.336,60.0,33.848,31.4,63.439,77.7,50.671,25.531,1.516
v28_edesc_12x1_d768_lr2e3,V28 EDesc 12×1,EGrad,egrad,141,285,768,12,1,,38.5908,47.01,24.317,46.759,58.991,60.0,32.882,29.6,63.547,78.1,51.144,24.797,1.592
v29_egrad_attn_6x2_d768_lr2e3,V29 EGrad-Attn 6×2,EGrad,egrad,118,314,768,6,2,,40.8947,46.88,24.744,45.96,58.563,64.0,31.886,28.0,63.602,76.6,51.618,23.8,1.061
v30_edesc_6x2_d768_lr2e3,V30 EDesc 6×2,EGrad,egrad,118,314,768,6,2,,42.4541,46.07,25.085,45.581,51.682,62.0,31.129,31.2,62.677,75.2,51.381,24.726,1.516
v31_egrad_attn_24x1_d1024_lr1e3,V31 EGrad-Attn 24×1,EGrad,egrad,342,503,1024,24,1,,27.9029,50.72,26.621,55.093,55.413,69.0,40.4,33.0,67.573,82.9,50.355,26.841,1.365
v32_edesc_24x1_d1024_lr1e3,V32 EDesc 24×1,EGrad,egrad,342,503,1024,24,1,,28.2064,50.37,27.986,53.62,54.924,68.0,39.982,31.4,67.791,83.7,51.144,25.16,2.502
v33_egrad_attn_6x2_d1024_lr1e3,V33 EGrad-Attn 6×2 d1024,EGrad,egrad,162,252,1024,6,2,,37.584,46.31,25.171,46.97,47.339,66.0,33.201,29.0,62.35,76.8,51.144,25.139,0.758
v34_edesc_6x2_d1024_lr1e3,V34 EDesc 6×2 d1024,EGrad,egrad,162,252,1024,6,2,,38.85,46.39,24.915,45.749,55.352,60.0,32.932,28.4,64.418,77.4,51.144,23.579,1.516
v35_egrad_attn_12x2_d1024_lr1e3,V35 EGrad-Attn 12×2,EGrad,egrad,228,503,1024,12,2,,32.0363,48.83,26.109,50.379,57.431,67.0,36.457,30.0,64.853,79.6,50.829,25.609,1.592
v36_edesc_12x2_d1024_lr1e3,V36 EDesc 12×2,EGrad,egrad,228,503,1024,12,2,,32.3213,48.87,25.171,49.411,59.45,65.0,36.218,31.2,65.669,81.1,50.829,24.676,1.668
v39_egpt_cosreg_12x1_d768_lr2e3,V39 ActCosreg λ=0.01,EGPT,cosreg,176,359,768,12,1,act cosreg,47.3001,46.29,24.488,44.781,58.196,64.0,30.671,29.0,62.514,74.6,50.75,23.914,2.123
v40_egpt_cosreg_24x1_d1024_lr7e4,V40 ActCosreg 400M,EGPT,cosreg,354,654,1024,24,1,400M act cosreg,35.8277,47.29,25.853,49.158,49.664,65.0,34.147,29.4,65.234,78.7,49.961,25.751,2.199
v41_sandwich_2gpt8e2gpt_d768_lr2e3,V41 Sandwich 2G+8E+2G,Sandwich,hybrid,143,359,768,12,1,,41.4394,47.85,25.256,46.044,59.633,66.0,31.697,30.8,64.853,76.7,52.249,25.274,2.123
v48_egpt_weight_cosreg_12x1_d768_lr2e3,V48 WtCosreg λ=0.01,EGPT,cosreg,143,359,768,12,1,weight cosreg,62.6434,44.91,23.635,43.308,58.593,62.0,29.098,28.8,60.936,68.0,50.434,24.32,1.365
v52_egpt_cosreg_lam1e1_12x1_d768_lr2e3,V52 ActCosreg λ=0.1,EGPT,cosreg,143,359,768,12,1,,47.4389,45.74,25.256,44.781,56.636,58.0,31.07,30.0,63.656,71.9,51.697,24.441,2.123
